ID,S11,S21,F,P,D,W,G
0,-0.108301788,-28.5552746,3.267558528,18.5,16.5,1,2
0,-0.107110575,-29.51850112,3.277591973,18.5,16.5,1,2
0,-0.1060753,-30.58107797,3.287625418,18.5,16.5,1,2
0,-0.10519822,-31.75769075,3.297658863,18.5,16.5,1,2
0,-0.104480159,-33.06056231,3.307692308,18.5,16.5,1,2
0,-0.103918802,-34.48333866,3.317725753,18.5,16.5,1,2
0,-0.103513919,-35.96805413,3.327759197,18.5,16.5,1,2
0,-0.103264514,-37.33310179,3.337792642,18.5,16.5,1,2
0,-0.103170463,-38.2066947,3.347826087,18.5,16.5,1,2
0,-0.103233001,-38.1928085,3.357859532,18.5,16.5,1,2
0,-0.103449235,-37.30016268,3.367892977,18.5,16.5,1,2
0,-0.103820137,-35.9329215,3.377926421,18.5,16.5,1,2
0,-0.104344597,-34.45667046,3.387959866,18.5,16.5,1,2
0,-0.105022957,-33.04534198,3.397993311,18.5,16.5,1,2
0,-0.105856157,-31.7532705,3.408026756,18.5,16.5,1,2
0,-0.106840632,-30.58559493,3.418060201,18.5,16.5,1,2
0,-0.107978358,-29.53138043,3.428093645,18.5,16.5,1,2
0,-0.109268128,-28.57613923,3.43812709,18.5,16.5,1,2
0,-0.110710805,-27.70595016,3.448160535,18.5,16.5,1,2
0,-0.112305148,-26.90876184,3.45819398,18.5,16.5,1,2
0,-0.11405037,-26.17439907,3.468227425,18.5,16.5,1,2
0,-0.115947106,-25.49442577,3.47826087,18.5,16.5,1,2
0,-0.117994177,-24.86186562,3.488294314,18.5,16.5,1,2
0,-0.120192031,-24.27088371,3.498327759,18.5,16.5,1,2
0,-0.122540385,-23.71662828,3.508361204,18.5,16.5,1,2
0,-0.125038481,-23.19498658,3.518394649,18.5,16.5,1,2
0,-0.127686906,-22.70248331,3.528428094,18.5,16.5,1,2
0,-0.130484455,-22.23616574,3.538461538,18.5,16.5,1,2
0,-0.133430276,-21.79347597,3.548494983,18.5,16.5,1,2
0,-0.136525967,-21.37221322,3.558528428,18.5,16.5,1,2
0,-0.139769969,-20.97046998,3.568561873,18.5,16.5,1,2
0,-0.143161381,-20.58656799,3.578595318,18.5,16.5,1,2
0,-0.146701394,-20.21904613,3.588628763,18.5,16.5,1,2
0,-0.150389775,-19.86659632,3.598662207,18.5,16.5,1,2
0,-0.154225157,-19.528069,3.608695652,18.5,16.5,1,2
0,-0.158208106,-19.20244208,3.618729097,18.5,16.5,1,2
0,-0.162338546,-18.88879534,3.628762542,18.5,16.5,1,2
0,-0.16661541,-18.58631007,3.638795987,18.5,16.5,1,2
0,-0.171038838,-18.29423643,3.648829431,18.5,16.5,1,2
0,-0.175608945,-18.01190669,3.658862876,18.5,16.5,1,2
0,-0.180325344,-17.73871337,3.668896321,18.5,16.5,1,2
0,-0.185188165,-17.47410205,3.678929766,18.5,16.5,1,2
0,-0.190196567,-17.21757009,3.688963211,18.5,16.5,1,2
0,-0.195350527,-16.96865099,3.698996656,18.5,16.5,1,2
0,-0.200649937,-16.72692494,3.7090301,18.5,16.5,1,2
0,-0.206094682,-16.49200506,3.719063545,18.5,16.5,1,2
0,-0.211684816,-16.26352759,3.72909699,18.5,16.5,1,2
0,-0.217419759,-16.04116442,3.739130435,18.5,16.5,1,2
0,-0.22330017,-15.82460947,3.74916388,18.5,16.5,1,2
0,-0.229324725,-15.6135817,3.759197324,18.5,16.5,1,2
0,-0.235493983,-15.40781707,3.769230769,18.5,16.5,1,2
0,-0.241807805,-15.20706709,3.779264214,18.5,16.5,1,2
0,-0.248265455,-15.01110778,3.789297659,18.5,16.5,1,2
0,-0.254867186,-14.81972426,3.799331104,18.5,16.5,1,2
0,-0.261612835,-14.63272003,3.809364548,18.5,16.5,1,2
0,-0.268502636,-14.44990922,3.819397993,18.5,16.5,1,2
0,-0.275535993,-14.27111385,3.829431438,18.5,16.5,1,2
